Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2008,12,25,4,2033,2020,2225,2215,WN,669,N719SW,52,55,42,10,13,ABQ,AMA,277,4,6,0,,0,NA,NA,NA,NA,NA
2008,12,25,4,1430,1430,1944,2005,WN,3173,N734SA,194,215,178,-21,0,ABQ,BWI,1670,3,13,0,,0,NA,NA,NA,NA,NA
2008,12,25,4,1426,1430,1657,1710,WN,45,N671SW,91,100,78,-13,-4,ABQ,DAL,580,4,9,0,,0,NA,NA,NA,NA,NA
2008,12,25,4,1644,1640,1918,1915,WN,102,N208WN,94,95,80,3,4,ABQ,DAL,580,5,9,0,,0,NA,NA,NA,NA,NA
2008,12,25,4,1109,1110,1337,1350,WN,125,N660SW,88,100,77,-13,-1,ABQ,DAL,580,4,7,0,,0,NA,NA,NA,NA,NA
2008,12,25,4,1250,1250,1512,1525,WN,324,N339SW,82,95,72,-13,0,ABQ,DAL,580,4,6,0,,0,NA,NA,NA,NA,NA
2008,12,25,4,2039,2020,2305,2255,WN,2065,N649SW,86,95,75,10,19,ABQ,DAL,580,3,8,0,,0,NA,NA,NA,NA,NA
2008,12,25,4,1825,1830,2045,2105,WN,3194,N474WN,80,95,70,-20,-5,ABQ,DAL,580,2,8,0,,0,NA,NA,NA,NA,NA
2008,12,25,4,1046,1045,1149,1200,WN,1787,N497WN,63,75,51,-11,1,ABQ,DEN,349,5,7,0,,0,NA,NA,NA,NA,NA
2008,12,25,4,1729,1720,1838,1835,WN,2799,N300SW,69,75,55,3,9,ABQ,DEN,349,8,6,0,,0,NA,NA,NA,NA,NA
2008,12,25,4,905,900,956,950,WN,116,N698SW,51,50,41,6,5,ABQ,ELP,223,3,7,0,,0,NA,NA,NA,NA,NA
2008,12,25,4,1852,1850,1945,1945,WN,369,N206WN,53,55,40,0,2,ABQ,ELP,223,4,9,0,,0,NA,NA,NA,NA,NA
2008,12,25,4,2006,1945,2250,2240,WN,246,N768SW,104,115,92,10,21,ABQ,HOU,759,4,8,0,,0,NA,NA,NA,NA,NA
2008,12,25,4,1239,1240,1531,1540,WN,1500,N771SA,112,120,101,-9,-1,ABQ,HOU,759,5,6,0,,0,NA,NA,NA,NA,NA
2008,12,25,4,1323,1315,1354,1350,WN,1304,N423WN,91,95,83,4,8,ABQ,LAS,487,2,6,0,,0,NA,NA,NA,NA,NA
2008,12,25,4,1936,1540,2019,1615,WN,2415,N213WN,103,95,83,244,236,ABQ,LAS,487,4,16,0,,0,0,119,8,0,117
2008,12,25,4,2039,1825,2124,1900,WN,3597,N643SW,105,95,88,144,134,ABQ,LAS,487,10,7,0,,0,0,118,10,0,16
2008,12,25,4,1116,1055,1155,1130,WN,3718,N665WN,99,95,84,25,21,ABQ,LAS,487,4,11,0,,0,0,0,25,0,0
2008,12,25,4,1155,1140,1254,1245,WN,12,N244WN,119,125,106,9,15,ABQ,LAX,677,7,6,0,,0,NA,NA,NA,NA,NA
2008,12,25,4,912,915,1034,1020,WN,1121,N233LV,142,125,128,14,-3,ABQ,LAX,677,5,9,0,,0,NA,NA,NA,NA,NA
2008,12,25,4,2101,2100,2213,2205,WN,3190,N619SW,132,125,114,8,1,ABQ,LAX,677,11,7,0,,0,NA,NA,NA,NA,NA
2008,12,25,4,1512,1510,1620,1615,WN,3293,N662SW,128,125,113,5,2,ABQ,LAX,677,7,8,0,,0,NA,NA,NA,NA,NA
2008,12,25,4,1230,1235,1419,1430,WN,672,N692SW,49,55,41,-11,-5,ABQ,LBB,289,3,5,0,,0,NA,NA,NA,NA,NA
2008,12,25,4,1938,1900,2143,2100,WN,413,N699SW,65,60,46,43,38,ABQ,MAF,332,4,15,0,,0,1,0,5,0,37
